Sno,Question,Answer,Subject,Category
1,What are interfaces in Java?,An interface in Java is a reference type that contains only abstract methods.,Java,Technical
2,What is exception handling in Java?,Exception handling is a mechanism to handle runtime errors.,Java,Technical
3,What is an abstract class in Java?,An abstract class cannot be instantiated and is meant to be subclassed.,Java,Technical
4,What is method overriding in Java?,Method overriding allows a subclass to redefine methods in its superclass.,Java,Technical
5,What is garbage collection in Java?,Garbage collection automatically frees memory in Java.,Java,Technical
6,What is encapsulation in Java?,"Encapsulation is the bundling of data and methods within a single unit, restricting access to some components.",Java,Technical
7,What is a try-catch block in Java?,"A try-catch block is used to handle exceptions in Java, allowing the program to continue running.",Java,Technical
8,What is polymorphism in Java?,Polymorphism allows methods to do different things based on the object it is acting upon.,Java,Technical
9,What does the # symbol do in Python?,# is used to comment on everything that comes after on the line.,Python,Technical
10,What is the difference between list and tuple in Python?,"Lists are mutable, while tuples are immutable.",Python,Technical
11,What is a Python dictionary?,,Python,Technical
12,How do you handle exceptions in Python?,A dictionary is a collection of key-value pairs.,Python,Technical
13,What is __init__ in Python?,__init__ is a constructor method called when an object is created.,Python,Technical
14,What is slicing in Python?,Slicing is used to access a range of items in sequences like lists and strings.,Python,Technical
15,What is the purpose of the 'self' keyword in Python?,"The self keyword in Python refers to the instance of the class, allowing access to instance variables and methods within class methods.",Python,Technical
16,What is a tuple in Python?,"A tuple is an immutable, ordered collection of items, defined by parentheses ",Python,Technical
17,What is the purpose of the pass statement in Python?,The pass statement is a null operation used as a placeholder in blocks where code is syntactically required but no action is needed.,Python,Technical
18,How can you read a file in Python?,A file can be read using the open() function and the read() method,Python,Technical
19,What is a class in OOP?,A class is a blueprint for creating objects in object-oriented programming.,OOP,Technical
20,What is inheritance in OOP?,Inheritance allows one class to inherit properties and behaviors from another class.,OOP,Technical
21,What is polymorphism in OOP?,Polymorphism allows objects of different classes to be treated as objects of a common superclass.,OOP,Technical
22,What is encapsulation in OOP?,Encapsulation is the bundling of data and methods within a class.,OOP,Technical
23,What is overloading in OOP?,Overloading is defining multiple functions with the same name but different parameters.,OOP,Technical
24,What are the key principles of OOP?,,OOP,Technical
25,What is a destructor in OOP?,"A destructor is a special method called when an object is deleted, used to free resources or perform cleanup.",OOP,Technical
26,What is an object in OOP?,An object is an instance of a class that contains data and methods defined by the class.,OOP,Technical
27,What is method overriding?,Method overriding allows a subclass to provide a specific implementation of a method already defined in its superclass.,OOP,Technical
28,What is multiple inheritance?,Multiple inheritance allows a class to inherit attributes and methods from more than one parent class.,OOP,Technical
29,What is an abstract class?,"An abstract class cannot be instantiated and is designed to be subclassed, containing abstract methods that must be implemented by subclasses.",OOP,Technical
30,What is a constructor in OOP?,"A constructor is a special method called when an object is instantiated, used to initialize its attributes.",OOP,Technical
31,What is data hiding in OOP?,"Data hiding is a principle that restricts direct access to certain object attributes, protecting the object's internal state.",OOP,Technical
32,What is the purpose of the super() function in OOP?,"The super() function calls a method from the parent class, allowing access to inherited methods and attributes.",OOP,Technical
33,What is dynamic binding in OOP?,"Dynamic binding is the process of linking a procedure call to the code to be executed in runtime, enabling polymorphism.",OOP,Technical
